,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.8338,2.92452,3.01665,3.11009,3.20475,3.30059,3.398,3.49718,3.59785,3.69993,3.80337,3.90788,4.01313,4.11908
Qatar,0.2369,0.24928,0.25961,0.29241,0.32447,0.35603,0.38726,0.39695,0.41346,0.43016,0.44613,0.46112,0.47581,0.49104,0.50626,0.52121,0.53602,0.55086,0.57056,0.59711,0.62696,0.65885,0.69173,0.72512,0.75882,0.78567,0.80258,0.8149,0.82479,0.83329,0.84093
Saudi Arabia,10.02152,10.65493,11.28881,11.95226,12.60694,13.33007,13.9983,14.61975,15.23313,15.82936,16.06076,16.30577,17.06075,17.63636,18.20242,18.75504,19.29336,19.81838,20.32909,20.82455,21.3119,21.79609,22.27404,22.74289,23.20004,23.64221,24.0732,24.49852,24.91741,25.32887,25.73178
Syria,8.75241,9.04923,9.38665,9.73512,10.09494,10.46614,10.84857,11.24297,11.64601,12.05294,12.5,12.93313,13.31165,13.68518,14.06143,14.44857,14.8437,15.24445,15.64985,16.05894,16.47124,16.88507,17.29982,17.71535,18.13682,18.56267,19.32269,20.48772,21.32486,21.76298,22.19811
United Arab Emirates,1.00029,1.06972,1.13755,1.2091,1.28439,1.36348,1.44657,1.53044,1.62275,1.72206,1.82625,1.93669,2.05629,2.1842,2.31918,2.45798,2.59958,2.74633,2.8985,3.05608,3.2193,3.38733,3.5581,3.7317,3.90795,4.0866,4.26591,4.44401,4.6214,4.79849,4.97559
Yemen,9.13255,9.39014,9.65762,9.93626,10.22927,10.53993,10.86958,11.21934,11.59107,11.98639,12.41608,12.88242,13.368,13.88576,14.39475,14.86156,15.32572,15.81571,16.3272,16.85909,17.40726,17.97054,18.5462,19.13411,19.73383,20.34467,20.96452,21.59104,22.22285,22.85824,23.49536
Egypt,42.63422,44.1961,45.68181,47.09303,48.55016,50.05238,51.59343,52.3751,53.16221,53.94841,54.90738,55.86165,56.62499,57.3843,58.15695,58.94503,59.75782,61.07191,62.41172,63.77347,65.15855,66.57408,68.02312,69.50186,71.00947,72.54351,74.10059,75.67654,77.26669,78.86664,80.47187
Equatorial Guinea,0.25601,0.27178,0.28548,0.29958,0.31464,0.32519,0.33365,0.34247,0.35165,0.36119,0.3711,0.38138,0.39202,0.40304,0.41444,0.42623,0.43842,0.45103,0.46406,0.47754,0.49148,0.50592,0.52076,0.53593,0.55142,0.56723,0.58335,0.59976,0.61646,0.63344,0.6507
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.37969,3.565,3.73306,3.84158,3.96311,4.07957,4.19731,4.33799,4.50543,4.70002,4.90734,5.06956,5.21433,5.35768,5.50203,5.64717,5.79298
Ethiopia,38.6052,40.35937,42.18999,43.4599,44.5123,45.16862,45.98822,47.22622,48.67474,50.12821,51.53533,53.20516,54.76061,56.03139,54.03425,55.54997,57.19265,58.80542,60.4839,62.2794,64.16496,66.12258,68.18727,70.36607,72.63721,74.98029,77.4114,79.9358,82.54484,85.23734,88.01349
Gabon,0.71383,0.73084,0.75424,0.77902,0.80526,0.83304,0.85945,0.88092,0.89974,0.91884,0.93808,0.96043,0.98637,1.01316,1.04081,1.06907,1.09771,1.12694,1.15717,1.19565,1.23643,1.26915,1.30042,1.33262,1.36441,1.39569,1.42639,1.45645,1.48583,1.51499,1.54526
Ghana,11.01119,11.17096,11.39415,12.15058,12.83231,13.22862,13.78192,14.17388,14.57413,14.98276,15.40774,15.84823,16.29285,16.80537,17.30185,17.70406,18.08539,18.47351,18.88771,19.3145,19.75162,20.19629,20.66146,21.1372,21.60098,22.06238,22.52438,22.9807,23.43457,23.88781,24.33984
Guinea,4.44737,4.54036,4.63601,4.7344,4.95358,5.22674,5.39433,5.52841,5.66683,5.80969,6.11845,6.55247,6.80052,6.98911,7.20949,7.4457,7.70157,7.79106,7.90661,8.1544,8.35041,8.41692,8.5203,8.75554,8.97198,9.15373,9.34573,9.56922,9.80651,10.05798,10.32403
Guinea-Bissau,0.7889,0.80706,0.82577,0.84501,0.86478,0.88506,0.90593,0.92741,0.94954,0.97239,0.99599,1.02022,1.051,1.08446,1.11651,1.14333,1.16626,1.19411,1.22224,1.25041,1.27886,1.30645,1.33312,1.35992,1.38693,1.41416,1.44275,1.47278,1.50318,1.53396,1.56513
Kenya,16.33054,16.98722,17.65997,18.34799,19.05021,19.76149,20.47712,21.19578,21.91587,22.63477,23.35448,24.12143,25.01897,25.81755,26.45452,27.12391,27.79029,28.45861,29.12289,29.7955,30.50798,31.2987,32.15532,33.04178,33.96709,34.91178,35.89065,36.91372,37.95384,39.00277,40.04657
Lesotho,1.35857,1.39518,1.43282,1.47148,1.51111,1.55164,1.5866,1.61569,1.64484,1.67402,1.70326,1.7325,1.76171,1.79079,1.8195,1.84757,1.86905,1.88354,1.8966,1.90767,1.91632,1.92234,1.92564,1.92635,1.9249,1.92212,1.9192,1.91686,1.91547,1.91613,1.91955
Liberia,1.8571,1.913,1.97148,2.03237,2.09577,2.16175,2.23038,2.30176,2.37595,2.45297,2.13859,1.81471,1.89388,1.95263,1.91753,1.90028,1.93223,2.09745,2.34951,2.49539,2.60067,2.67979,2.75304,2.76968,2.79594,2.93008,3.10761,3.26994,3.44037,3.58339,3.68508
Libya,3.06862,3.20768,3.34789,3.48858,3.62917,3.68003,3.70454,3.80514,3.91898,4.03295,4.14639,4.25939,4.372,4.48362,4.59332,4.66286,4.69528,4.76892,4.8841,5.00314,5.12544,5.25089,5.37924,5.51013,5.64308,5.77753,5.91323,6.0499,6.18704,6.32436,6.46145
Madagascar,8.69125,8.93876,9.19587,9.46302,9.74054,10.02863,10.32739,10.63688,10.95734,11.28916,11.63287,11.98871,12.35668,12.73661,13.12841,13.53236,13.94848,14.3766,14.81658,15.27126,15.74194,16.22682,16.72589,17.23952,17.76815,18.31216,18.87216,19.44882,20.04255,20.65356,21.28184
Malawi,6.25893,6.45967,6.66854,6.88393,7.10435,7.33001,7.60855,8.05274,8.58662,9.09083,9.546,9.93081,10.3096,10.49511,10.32045,10.26405,10.52681,10.83884,11.15534,11.47685,11.80151,12.12867,12.46009,12.7968,13.14014,13.49211,13.85568,14.23279,14.62368,15.02876,15.4475
Mali,6.82161,6.95002,7.08238,7.21901,7.36021,7.5062,7.65726,7.81357,7.97719,8.15635,8.32711,8.51187,8.7424,8.95321,9.17522,9.33602,9.5158,9.78384,10.04609,10.33565,10.62082,10.91763,11.21969,11.5228,11.82733,12.13382,12.44653,12.76879,13.10081,13.44323,13.79635
Mauritania,1.54491,1.57765,1.61189,1.64759,1.68477,1.72347,1.76368,1.80539,1.8485,1.88583,1.92498,1.97343,2.04282,2.11924,2.18334,2.23479,2.27068,2.31522,2.3741,2.43691,2.50087,2.56579,2.63185,2.69924,2.76795,2.83794,2.9091,2.98145,3.05493,3.12949,3.20506
Mauritius,0.9637,0.97905,0.99204,1.00218,1.01204,1.02054,1.02823,1.03627,1.04494,1.0534,1.0616,1.07172,1.08481,1.09864,1.1113,1.12312,1.13534,1.14835,1.16066,1.17313,1.18593,1.19788,1.20959,1.221,1.23206,1.24282,1.25343,1.2639,1.27419,1.28426,1.2941
Morocco,19.48727,19.84622,20.19873,20.6794,21.16079,21.64379,22.12744,22.61059,23.08648,23.5498,23.99997,24.43372,24.86108,25.29264,25.72317,26.1476,26.56357,26.96872,27.36105,27.74199,28.11304,28.47748,28.8389,29.19706,29.55151,29.90096,30.24777,30.59445,30.94046,31.28517,31.62743
Mozambique,12.10262,12.36323,12.58733,12.77284,12.92282,13.0626,13.14302,12.89485,12.52301,12.4821,12.66657,12.9348,13.18,13.69137,14.78146,15.76475,16.29834,16.75966,17.22003,17.67673,18.12456,18.55916,18.97917,19.38308,19.77284,20.15401,20.53002,20.90558,21.2847,21.66928,22.06145
Namibia,--,--,--,--,--,--,--,--,--,--,1.47057,1.51199,1.5525,1.59514,1.63833,1.68148,1.72432,1.76614,1.80653,1.8467,1.89344,1.9351,1.96067,1.98343,2.00665,2.02836,2.04915,2.06903,2.08867,2.10866,2.12847
Niger,6.09347,6.239,6.38918,6.54413,6.70405,6.86921,7.03981,7.21596,7.39913,7.60756,7.84173,8.08532,8.33919,8.60931,8.89259,9.19933,9.52474,9.8513,10.19566,10.56322,10.95143,11.36215,11.79208,12.23931,12.70466,13.18887,13.69295,14.21471,14.75208,15.30625,15.87827
Nigeria,74.82127,77.14958,79.51098,81.16374,82.72429,84.88938,87.09224,89.40502,91.76042,94.15965,96.60376,99.0925,101.62507,104.19968,106.81404,109.46508,112.14902,114.86204,117.59957,120.3692,123.17882,126.01433,128.86432,131.72752,134.60451,137.49506,140.39777,143.3121,146.25531,149.22909,152.21734
Reunion,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.59,0.6,0.607,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.7,0.72,0.73257,0.74387,0.75517,0.76615,0.76615,0.76615,0.76615,0.76615,0.76615,0.76615
Rwanda,5.13984,5.30899,5.48328,5.66317,5.83374,5.98659,6.16171,6.3728,6.59722,6.81686,6.99932,7.14374,7.29857,7.59668,6.50553,5.47298,6.54646,7.64742,8.04184,8.22235,8.39841,8.61098,8.85737,9.09847,9.36125,9.61107,9.85722,10.14108,10.44077,10.74631,11.05598
Saint Helena,0.00647,0.00658,0.00664,0.00675,0.00749,0.00794,0.00831,0.00654,0.00659,0.00663,0.00668,0.00673,0.00678,0.00684,0.00689,0.00695,0.007,0.00706,0.00712,0.00718,0.00723,0.00728,0.00734,0.00739,0.00743,0.00748,0.00752,0.00756,0.0076,0.00764,0.00767
Sao Tome and Principe,0.09407,0.09644,0.09824,0.10013,0.10212,0.10419,0.10635,0.1086,0.11094,0.11338,0.11593,0.1186,0.12091,0.12285,0.12492,0.12714,0.12953,0.13209,0.1348,0.13767,0.14069,0.14385,0.14713,0.15051,0.15397,0.15751,0.16111,0.16475,0.16842,0.1721,0.17581
Senegal,5.61133,5.75446,5.90285,6.05554,6.2137,6.37841,6.54979,6.72784,6.91257,7.12729,7.34761,7.55397,7.75925,7.961,8.16615,8.37806,8.59491,8.80985,9.03714,9.25282,9.46928,9.7162,9.97244,10.24014,10.51912,10.80412,11.09611,11.3943,11.69834,12.00807,12.32325
Seychelles,0.06395,0.0647,0.06528,0.06585,0.0665,0.06718,0.06784,0.06846,0.0692,0.07001,0.0708,0.07165,0.0725,0.07332,0.07413,0.07493,0.07571,0.07641,0.07717,0.07814,0.07916,0.08017,0.08113,0.08205,0.08297,0.08389,0.0848,0.0857,0.0866,0.08748,0.08834
Sierra Leone,3.33503,3.40215,3.47225,3.54564,3.62254,3.70309,3.78739,3.87558,3.96778,4.06415,4.2282,4.3349,4.24628,4.09967,3.97796,3.88144,3.8105,3.76521,3.74573,3.73557,3.80906,4.04341,4.28683,4.46568,4.6022,4.70805,4.81762,4.91833,5.023,5.13214,5.2457
Somalia,5.79356,5.8288,5.8345,6.01035,6.21774,6.45854,6.71493,6.93908,6.91829,6.76633,6.69204,6.46448,6.11621,6.10102,6.26444,6.40072,6.57426,6.75108,6.9652,7.17102,7.38572,7.62677,7.89678,8.17424,8.45947,8.75245,9.03018,9.29161,9.55867,9.83202,10.11245
South Africa,30.30961,31.24317,32.2392,33.27827,34.35109,35.45826,36.34173,37.22598,38.12772,39.04797,38.47627,39.29952,40.09107,40.94061,41.66156,42.22792,42.79396,43.35363,43.96192,44.52627,45.0641,45.57622,46.07695,46.56663,47.03287,47.48345,47.92567,48.36713,48.78276,49.05249,49.10911
Sudan,19.48245,20.19661,20.94364,21.69704,22.40189,23.14525,23.78422,24.2799,24.67247,25.19269,25.8881,26.76895,27.66838,28.39476,29.16041,29.95296,30.63013,31.4161,32.36192,33.22446,34.1093,35.02449,35.9266,36.70783,37.44223,38.36308,39.3964,40.52607,41.68078,42.81128,43.9396
Swaziland,0.61146,0.63131,0.64981,0.67241,0.69634,0.72157,0.74942,0.77759,0.81499,0.8493,0.8816,0.92247,0.95902,0.98872,0.99492,1.00364,1.03245,1.06106,1.0894,1.11714,1.14393,1.16952,1.19371,1.21644,1.23795,1.25898,1.2798,1.29991,1.3191,1.33719,1.35405
Tanzania,18.66506,19.212,19.77679,20.36842,20.98409,21.61843,22.28417,23.01672,23.76376,24.48489,25.21428,25.97254,26.76747,27.69659,28.79766,29.7529,30.39214,31.09265,31.95096,32.80803,33.71212,34.56725,35.3831,36.19879,36.98997,37.77057,38.56853,39.38422,40.21316,41.04853,41.8929
Togo,2.62551,2.71957,2.8166,2.9175,3.02179,3.12943,3.24072,3.35592,3.47514,3.59714,3.72079,3.84605,3.97281,3.95258,3.98199,4.20291,4.40207,4.57245,4.71517,4.85245,4.99183,5.13457,5.27793,5.42496,5.57821,5.71452,5.8654,6.04238,6.22035,6.40501,6.58724
Tunisia,6.44318,6.60571,6.7341,6.85989,7.18453,7.3637,7.54708,7.72802,7.89856,8.05669,8.21101,8.36852,8.52679,8.68412,8.8354,8.97627,9.10886,9.23529,9.35274,9.46255,9.56755,9.67117,9.77448,9.87718,9.97893,10.07938,10.17973,10.28121,10.38358,10.48634,10.58903
Uganda,12.41472,12.72525,13.07893,13.47039,13.91951,14.39174,14.91072,15.52009,16.17642,16.83238,17.45576,18.08214,18.72945,19.42438,20.12759,20.68952,21.24872,21.86101,22.50214,23.22767,23.95582,24.69,25.46958,26.32196,27.23366,28.19939,29.2065,30.26261,31.36797,32.36956,33.39868
Western Sahara,0.12404,0.13909,0.15455,0.16568,0.1724,0.17933,0.18648,0.19385,0.20143,0.20926,0.21737,0.22575,0.2344,0.2433,0.25244,0.26387,0.27767,0.29184,0.30635,0.32118,0.3363,0.35169,0.36739,0.3834,0.39974,0.4154,0.43032,0.4454,0.46063,0.47601,0.49152
Zambia,5.64278,5.83063,6.0475,6.28337,6.50548,6.71579,6.95192,7.19455,7.41797,7.63494,7.85755,8.0883,8.32181,8.55505,8.78912,9.02068,9.25485,9.51552,9.78077,10.05002,10.34517,10.6461,10.91696,11.17251,11.4337,11.71036,12.01326,12.34108,12.69423,13.06068,13.46031
Zimbabwe,7.16997,7.42922,7.63652,7.92834,8.24121,8.56049,8.87678,9.21648,9.56005,9.8682,10.15604,10.43742,10.72025,10.97637,11.08648,11.15949,11.31695,11.46939,11.60692,11.73308,11.82003,11.86786,11.86602,11.81552,11.73505,11.63947,11.54433,11.44319,11.35011,11.39263,11.65186
Afghanistan,15.0436,13.67368,12.57743,12.43058,12.75384,13.09371,13.08496,12.99949,13.09382,13.40714,13.44937,13.52717,14.8552,16.81974,18.28771,19.22594,19.86465,20.49022,21.13212,21.82157,22.02095,22.0222,23.05074,24.38858,25.00134,25.53805,26.23521,26.91153,27.65889,28.39572,29.12129
American Samoa,0.03242,0.0336,0.03471,0.03584,0.03709,0.03863,0.04016,0.04188,0.04362,0.04538,0.0472,0.04857,0.04995,0.05138,0.05273,0.05391,0.05496,0.05597,0.05693,0.05785,0.05777,0.05874,0.05964,0.0605,0.06146,0.0624,0.06322,0.06403,0.06483,0.06563,0.06643
Australia,14.6159,14.92326,15.16178,15.34807,15.51048,15.69524,15.90042,16.13672,16.40073,16.6806,16.95624,17.20212,17.41893,17.6078,17.78109,17.97563,18.19585,18.41526,18.62084,18.83025,19.05319,19.29426,19.53494,19.76654,19.99508,20.23235,20.48947,20.74963,21.00731,21.26264,21.51575
Bangladesh,87.93733,94.14314,96.18533,98.23486,100.27995,102.30835,104.34543,106.38194,108.37452,110.31623,112.21257,113.91068,115.75094,117.62067,119.51509,121.44231,123.43252,125.50582,127.66013,129.87906,132.15077,134.47753,136.86984,139.30503,141.7344,144.13874,146.51711,148.89374,151.28999,153.70033,156.11846
Bhutan,0.44604,0.46195,0.47824,0.49489,0.51189,0.5292,0.54681,0.56472,0.58289,0.59961,0.61474,0.62504,0.60166,0.57669,0.57472,0.56631,0.56533,0.57484,0.58527,0.59563,0.60587,0.61598,0.62594,0.63576,0.64541,0.6549,0.66421,0.67335,0.68232,0.69114,0.69985
Cambodia,6.88852,7.0792,7.29713,7.53065,7.69058,7.84124,8.10142,8.40395,8.71641,9.03814,9.36752,9.70681,10.14276,10.62423,10.97424,11.23414,11.48458,11.72171,11.94447,12.15466,12.35115,12.53961,12.7292,12.92071,13.10994,13.2974,13.49871,13.71869,13.95701,14.20623,14.45368
China,984.73646,997.00072,1012.49049,1028.35653,1042.75605,1058.00772,1074.52256,1093.72571,1112.86641,1130.72941,1148.36447,1163.61039,1177.53561,1190.76183,1203.80174,1216.37844,1227.88219,1238.12566,1247.50222,1255.9925,1263.63753,1270.74423,1277.59472,1284.30332,1291.0018,1297.76532,1304.26188,1310.58354,1317.06568,1323.59158,1330.14129

World,4451.32679,4534.01064,4613.94102,4694.9362,4775.05313,4856.52116,4940.1947,5026.35348,5113.1907,5199.68056,5286.92957,5369.79076,5454.29816,5536.20819,5616.68132,5697.40615,5777.31836,5858.37302,5935.74132,6012.44075,6088.68355,6165.32364,6241.71768,6317.4264,6393.12094,6469.12974,6545.88444,6623.57196,6700.76588,6776.91747,6853.01941
